# BEAST v10.5.0-beta5 Prerelease #1d511b10c2
# Generated Thu Jan 23 14:55:12 CET 2025 [seed=1737640490054]
# -window -working -options
state	joint	prior	likelihood	rootHeight	age(root)	treeLength	tmrca(untitled0)	age(untitled0)	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-14236.67751412824	-18.71879138381238	-14217.958722744428	7.310231290973711	2016.4377139145058	16.22315864978305	7.310231290973711	2016.4377139145058	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.001	0.001	-14217.958722744428	0.0	-15.988613600256816
1000	-4349.847910243959	-108.77025148174802	-4241.07765876221	17.5743809467362	2006.1735642587432	148.03130554922495	17.5743809467362	2006.1735642587432	29.278378473043652	4.36537226958729	0.2774922955477579	0.23717349721003206	0.24685255845185697	0.23848164879035308	0.00847848361292379	0.00847848361292379	-4241.07765876221	0.0	-100.61395930402526
2000	-3827.8450557932265	-99.62559755389867	-3728.2194582393277	20.122397400416332	2003.6255478050632	128.9426112146708	20.122397400416332	2003.6255478050632	25.2504536047751	4.301571201253468	0.2793072888812381	0.24830804781990648	0.2526376034446948	0.21974705985416063	0.008836690174774774	0.008836690174774776	-3728.2194582393277	0.0	-91.6662443791479
3000	-3842.1363210126224	-103.80947317655547	-3738.326847836067	22.59577770194958	2001.1521675035299	147.10658334890135	22.59577770194958	2001.1521675035299	32.86760694929616	4.209747319432746	0.2826970228042055	0.24800734349988687	0.24736502339151267	0.2219306103043951	0.007584892787525986	0.007584892787525985	-3738.326847836067	0.0	-95.77280033950679
4000	-3817.7265685318303	-108.39256008752051	-3709.33400844431	25.70400961868089	1998.0439355867986	176.24064882501008	25.70400961868089	1998.0439355867986	36.55967511156933	4.601628271620108	0.2526352569839423	0.23339945708530604	0.28896098106324697	0.22500430486750483	0.006275108168170927	0.006275108168170928	-3709.33400844431	0.0	-100.3243729535499
5000	-3822.7964489196693	-111.26228468048251	-3711.534164239187	30.908547763792427	1992.839397441687	202.35524363550974	30.908547763792427	1992.839397441687	45.513882906633576	5.439173717568405	0.2269405322551864	0.25377893531130824	0.30237688865146517	0.21690364378204038	0.006150916339227064	0.006150916339227063	-3711.534164239187	0.0	-102.6741314181993
6000	-3824.281705831348	-119.32435554845188	-3704.957350282896	37.74654370012598	1986.0014015053534	272.55121717752763	37.74654370012598	1986.0014015053534	62.66841006949332	5.20537652077901	0.25269858180349775	0.248551981572489	0.287202487245145	0.2115469493788684	0.004332647091965073	0.004332647091965075	-3704.957350282896	0.0	-110.8502626765107
7000	-3826.243700358892	-123.57374947360191	-3702.6699508852903	49.78684159062002	1973.9611036148594	337.3178548432312	49.78684159062002	1973.9611036148594	74.3492752134208	4.660007446679024	0.23979552321930106	0.2555847019668948	0.2780144626637461	0.22660531215005827	0.003411595198146278	0.0034115951981462775	-3702.6699508852903	0.0	-115.32617971482796
8000	-3822.9994511699606	-129.80782792482466	-3693.191623245136	58.75230493726291	1964.9956402682167	428.83557819965023	58.75230493726291	1964.9956402682167	101.88798594648922	5.282104140158769	0.24990635094930885	0.25256510689206385	0.2837156942297094	0.2138128479289182	0.0025108812773482906	0.00251088127734829	-3693.191623245136	0.0	-121.39170869073303
9000	-3827.2969327716414	-133.72981093150065	-3693.5671218401408	67.0876050051903	1956.6603402002893	498.2530319175817	67.0876050051903	1956.6603402002893	113.75717414147752	5.349581970858231	0.2504370923331445	0.2555480526847898	0.28925180155864916	0.20476305342341686	0.002133639119958974	0.0021336391199589747	-3693.5671218401408	0.0	-125.34368080271072
10000	-3823.5158186285494	-124.02325848951187	-3699.4925601390373	48.5427921791042	1975.2051530263752	330.6691645072438	48.5427921791042	1975.2051530263752	45.934918922610194	5.133282855701601	0.2363282816178711	0.2657506307685145	0.2793339540609198	0.21858713355269488	0.003172904335576563	0.0031729043355765638	-3699.4925601390373	0.0	-116.28000203682618
11000	-3828.335977733099	-126.14909631958774	-3702.186881413511	48.90634074082749	1974.841604464652	361.0100221423393	48.90634074082749	1974.841604464652	79.96263661121765	5.524079791062887	0.25868366761260353	0.24034203534449575	0.27796141483922737	0.22301288220367355	0.003082540418200194	0.003082540418200193	-3702.186881413511	0.0	-117.70777949241891
12000	-3824.120198002586	-120.70064854371047	-3703.4195494588757	41.700978666677955	1982.0469665388016	295.5428380177571	41.700978666677955	1982.0469665388016	56.935792082986275	5.513469686277323	0.2556782158566438	0.24108204713307807	0.27467679367542586	0.22856294333485258	0.003966759581844438	0.003966759581844439	-3703.4195494588757	0.0	-112.33878501820561
13000	-3833.0308915435844	-124.30089304924158	-3708.729998494343	45.60318833206499	1978.1447568734145	336.51452832216984	45.60318833206499	1978.1447568734145	75.57496663668162	5.220384187843063	0.25720573875727604	0.24547066370528758	0.26260503147302805	0.23471856606440872	0.0033492468485873464	0.003349246848587347	-3708.729998494343	0.0	-115.91066158864167
14000	-3830.8910615543873	-129.21660916652354	-3701.6744523878638	48.82404267371882	1974.9239025317606	398.36746809639715	48.82404267371882	1974.9239025317606	75.7785192897795	4.807238245554364	0.2588540174267417	0.250069778532276	0.27975153301120403	0.2113246710297786	0.0029391726062825874	0.002939172606282588	-3701.6744523878638	0.0	-121.04406412899361
15000	-3823.2830129432514	-121.10896682906835	-3702.174046114183	41.47187360004256	1982.276071605437	286.0498557555074	41.47187360004256	1982.276071605437	86.17012355426006	4.867187904959102	0.2641884250510836	0.2471019651885935	0.28655007909531277	0.2021595306650105	0.003818746252367384	0.0038187462523673835	-3702.174046114183	0.0	-112.56270267994798
16000	-3824.3642781248873	-124.51633109167406	-3699.847947033213	44.68127437455559	1979.0666708309238	339.95730736254063	44.68127437455559	1979.0666708309238	68.46177586544093	4.662167187121515	0.27242691542377057	0.23260760249839768	0.2830999944515019	0.2118654876263302	0.0033274033304575854	0.003327403330457585	-3699.847947033213	0.0	-116.39244937954241
17000	-3825.09774805845	-128.17025212032888	-3696.9274959381214	54.46659355416027	1969.2813516513193	402.09340226068525	54.46659355416027	1969.2813516513193	64.528923216778	5.234062520123537	0.24700606256291435	0.24532621749394423	0.30753001735899704	0.2001377025841447	0.002935710717265241	0.0029357107172652405	-3696.9274959381214	0.0	-120.04676324563883
18000	-3830.420573181655	-132.53198154605533	-3697.8885916356	73.73385529370982	1950.0140899117696	502.69909558476155	73.73385529370982	1950.0140899117696	82.16907626809048	5.172803907751005	0.24433617115106745	0.23500693800403835	0.31075123017683937	0.2099056606680552	0.002214443091399027	0.002214443091399027	-3697.8885916356	0.0	-124.48595318159761
19000	-3830.753956045796	-134.15287506048577	-3696.60108098531	70.61285140590655	1953.135093799573	510.56693826590924	70.61285140590655	1953.135093799573	133.5670602644092	5.171233142519478	0.24966393478182716	0.22882559104918207	0.31803931970675564	0.20347115446223554	0.0023077093219861906	0.002307709321986192	-3696.60108098531	0.0	-125.4926348480774
20000	-3841.1237855053723	-137.1911176131664	-3703.932667892206	61.73792066243118	1962.0100245430483	481.68596164161636	61.73792066243118	1962.0100245430483	198.3991971411194	4.934652749941197	0.23415606908273914	0.2267856809121898	0.3273426553103162	0.21171559469475532	0.0022942990181922716	0.002294299018192271	-3703.932667892206	0.0	-128.18307273284557
21000	-3839.592589075186	-142.0048387954887	-3697.587750279697	92.95368691680149	1930.794258288678	669.2079676641441	92.95368691680149	1930.794258288678	212.99129973953384	5.511479698073186	0.23804951528722507	0.226125678938171	0.3195385790317394	0.216286226742865	0.0017366991406058433	0.001736699140605843	-3697.587750279697	0.0	-133.0011929509163
22000	-3846.6263461197823	-146.07728272575173	-3700.5490633940303	117.52681555120473	1906.2211296542748	859.2743377091538	117.52681555120473	1906.2211296542748	228.30675596149675	4.586711598689569	0.23905448894899464	0.22738045305150187	0.33277093941278035	0.20079411858672364	0.0013286070095405974	0.0013286070095405978	-3700.5490633940303	0.0	-137.52441334893345
23000	-3851.3321507829564	-156.42483791769513	-3694.9073128652612	184.0513975510325	1839.696547654447	1354.5746942264825	184.0513975510325	1839.696547654447	244.03146709837736	4.765429968307419	0.26141575079251644	0.24700930836920704	0.29726538416120285	0.19430955667707417	8.189106244650529E-4	8.18910624465053E-4	-3694.9073128652612	0.0	-148.24010820626495
24000	-3841.463855366466	-151.15244726504176	-3690.311408101424	143.63192286950667	1880.1160223359727	1068.7790614410278	143.63192286950667	1880.1160223359727	262.1719103640032	4.890108827064186	0.24731557137041563	0.239497411171333	0.3088383380914662	0.20434867936678566	0.0010067624902140926	0.0010067624902140929	-3690.311408101424	0.0	-142.65414967553554
25000	-3863.870579629832	-167.37505338731177	-3696.49552624252	280.5151044972823	1743.2328407081973	2127.89223796497	280.5151044972823	1743.2328407081973	528.3728653718434	4.380552951193533	0.26368123891906853	0.2577036126955052	0.28584090242971405	0.1927742459557128	5.164780401948817E-4	5.164780401948816E-4	-3696.49552624252	0.0	-158.71300912879784
26000	-3853.5534821999386	-157.79664870052991	-3695.7568334994085	191.40505112474722	1832.3428940807323	1413.7648474740706	191.40505112474722	1832.3428940807323	325.3169047653788	5.167176912829357	0.2569806533210186	0.2443769214834846	0.28520517798684697	0.21343724720865034	7.859403483439393E-4	7.859403483439396E-4	-3695.7568334994085	0.0	-149.17137520750993
27000	-3883.802001540212	-186.84105343297514	-3696.960948107237	598.1457157496756	1425.6022294558038	4554.36173513734	598.1457157496756	1425.6022294558038	758.4694398524643	5.430314908531889	0.244649547751613	0.25785442131098396	0.2768217336915945	0.22067429724580898	2.494815053707693E-4	2.4948150537076923E-4	-3696.960948107237	0.0	-177.99966045765757
28000	-3862.2954840590605	-169.09914765597225	-3693.1963364030885	282.29333896612627	1741.4546062393533	2155.9042407611414	282.29333896612627	1741.4546062393533	670.9158461379927	4.540804482399222	0.26051668469108574	0.24968708603021011	0.293577345801388	0.19621888347731656	5.25914858701595E-4	5.259148587015951E-4	-3693.1963364030885	0.0	-159.97131634901564
29000	-3855.3302103299106	-157.47300762245357	-3697.857202707457	194.15908787194712	1829.5888573335324	1431.9649007236878	194.15908787194712	1829.5888573335324	276.5047525586329	4.412192929730736	0.26199309823748734	0.2507586985343426	0.28104137532014334	0.20620682790802713	7.249401891500346E-4	7.249401891500345E-4	-3697.857202707457	0.0	-149.39369713364593
30000	-3854.814514446486	-154.11116359009893	-3700.7033508563873	165.1539729123645	1858.593972293115	1196.3865146858502	165.1539729123645	1858.593972293115	208.51722969172113	4.341782474567931	0.2641171203122109	0.22011003368587329	0.29097275263811195	0.22480009336380427	9.146482458280074E-4	9.146482458280074E-4	-3700.7033508563873	0.0	-146.14047567523426
31000	-3847.3052386164823	-149.86203337137616	-3697.443205245106	142.29157528625436	1881.4563699192252	1027.707874848848	142.29157528625436	1881.4563699192252	242.3891442380062	5.378064019610065	0.2483774729594507	0.2325978486744232	0.30946996757717343	0.20955471078895302	0.0010911784582368507	0.0010911784582368507	-3697.443205245106	0.0	-141.22288349126882
